season,round,circuit_name,location,country
2018,1,Australian Grand Prix,Melbourne,Australia
2018,2,Bahrain Grand Prix,Sakhir,Bahrain
2018,3,Chinese Grand Prix,Shanghai,China
2018,4,Azerbaijan Grand Prix,Baku,Azerbaijan
2018,5,Spanish Grand Prix,Barcelona,Spain
2018,6,Monaco Grand Prix,Monte Carlo,Monaco
2018,7,Canadian Grand Prix,Montréal,Canada
2018,8,French Grand Prix,Le Castellet,France
2018,9,Austrian Grand Prix,Spielberg,Austria
2018,10,British Grand Prix,Silverstone,Great Britain
2018,11,German Grand Prix,Hockenheim,Germany
2018,12,Hungarian Grand Prix,Budapest,Hungary
2018,13,Belgian Grand Prix,Spa-Francorchamps,Belgium
2018,14,Italian Grand Prix,Monza,Italy
2018,15,Singapore Grand Prix,Singapore,Singapore
2018,16,Russian Grand Prix,Sochi,Russia
2018,17,Japanese Grand Prix,Suzuka,Japan
2018,18,United States Grand Prix,Austin,United States
2018,19,Mexican Grand Prix,Mexico City,Mexico
2018,20,Brazilian Grand Prix,São Paulo,Brazil
2018,21,Abu Dhabi Grand Prix,Yas Marina,United Arab Emirates
2019,1,Australian Grand Prix,Melbourne,Australia
2019,2,Bahrain Grand Prix,Sakhir,Bahrain
2019,3,Chinese Grand Prix,Shanghai,China
2019,4,Azerbaijan Grand Prix,Baku,Azerbaijan
2019,5,Spanish Grand Prix,Barcelona,Spain
2019,6,Monaco Grand Prix,Monte Carlo,Monaco
2019,7,Canadian Grand Prix,Montréal,Canada
2019,8,French Grand Prix,Le Castellet,France
2019,9,Austrian Grand Prix,Spielberg,Austria
2019,10,British Grand Prix,Silverstone,Great Britain
2019,11,German Grand Prix,Hockenheim,Germany
2019,12,Hungarian Grand Prix,Budapest,Hungary
2019,13,Belgian Grand Prix,Spa-Francorchamps,Belgium
2019,14,Italian Grand Prix,Monza,Italy
2019,15,Singapore Grand Prix,Singapore,Singapore
2019,16,Russian Grand Prix,Sochi,Russia
2019,17,Japanese Grand Prix,Suzuka,Japan
2019,18,Mexican Grand Prix,Mexico City,Mexico
2019,19,United States Grand Prix,Austin,United States
2019,20,Brazilian Grand Prix,São Paulo,Brazil
2019,21,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi
2020,1,Austrian Grand Prix,Spielberg,Austria
2020,2,Styrian Grand Prix,Spielberg,Austria
2020,3,Hungarian Grand Prix,Budapest,Hungary
2020,4,British Grand Prix,Silverstone,Great Britain
2020,5,70th Anniversary Grand Prix,Silverstone,Great Britain
2020,6,Spanish Grand Prix,Barcelona,Spain
2020,7,Belgian Grand Prix,Spa-Francorchamps,Belgium
2020,8,Italian Grand Prix,Monza,Italy
2020,9,Tuscan Grand Prix,Mugello,Italy
2020,10,Russian Grand Prix,Sochi,Russia
2020,11,Eifel Grand Prix,Nürburgring,Germany
2020,12,Portuguese Grand Prix,Portimão,Portugal
2020,13,Emilia Romagna Grand Prix,Imola,Italy
2020,14,Turkish Grand Prix,Istanbul,Turkey
2020,15,Bahrain Grand Prix,Sakhir,Bahrain
2020,16,Sakhir Grand Prix,Sakhir,Bahrain
2020,17,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi
2021,1,Bahrain Grand Prix,Sakhir,Bahrain
2021,2,Emilia Romagna Grand Prix,Imola,Italy
2021,3,Portuguese Grand Prix,Portimão,Portugal
2021,4,Spanish Grand Prix,Barcelona,Spain
2021,5,Monaco Grand Prix,Monte Carlo,Monaco
2021,6,Azerbaijan Grand Prix,Baku,Azerbaijan
2021,7,French Grand Prix,Le Castellet,France
2021,8,Styrian Grand Prix,Spielberg,Austria
2021,9,Austrian Grand Prix,Spielberg,Austria
2021,10,British Grand Prix,Silverstone,Great Britain
2021,11,Hungarian Grand Prix,Budapest,Hungary
2021,12,Belgian Grand Prix,Spa-Francorchamps,Belgium
2021,13,Dutch Grand Prix,Zandvoort,Netherlands
2021,14,Italian Grand Prix,Monza,Italy
2021,15,Russian Grand Prix,Sochi,Russia
2021,16,Turkish Grand Prix,Istanbul,Turkey
2021,17,United States Grand Prix,Austin,United States
2021,18,Mexico City Grand Prix,Mexico City,Mexico
2021,19,São Paulo Grand Prix,São Paulo,Brazil
2021,20,Qatar Grand Prix,Lusail,Qatar
2021,21,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia
2021,22,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi
2022,1,Bahrain Grand Prix,Sakhir,Bahrain
2022,2,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia
2022,3,Australian Grand Prix,Melbourne,Australia
2022,4,Emilia Romagna Grand Prix,Imola,Italy
2022,5,Miami Grand Prix,Miami,United States
2022,6,Spanish Grand Prix,Barcelona,Spain
2022,7,Monaco Grand Prix,Monaco,Monaco
2022,8,Azerbaijan Grand Prix,Baku,Azerbaijan
2022,9,Canadian Grand Prix,Montréal,Canada
2022,10,British Grand Prix,Silverstone,Great Britain
2022,11,Austrian Grand Prix,Spielberg,Austria
2022,12,French Grand Prix,Le Castellet,France
2022,13,Hungarian Grand Prix,Budapest,Hungary
2022,14,Belgian Grand Prix,Spa-Francorchamps,Belgium
2022,15,Dutch Grand Prix,Zandvoort,Netherlands
2022,16,Italian Grand Prix,Monza,Italy
2022,17,Singapore Grand Prix,Marina Bay,Singapore
2022,18,Japanese Grand Prix,Suzuka,Japan
2022,19,United States Grand Prix,Austin,United States
2022,20,Mexico City Grand Prix,Mexico City,Mexico
2022,21,São Paulo Grand Prix,São Paulo,Brazil
2022,22,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi
2023,1,Bahrain Grand Prix,Sakhir,Bahrain
2023,2,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia
2023,3,Australian Grand Prix,Melbourne,Australia
2023,4,Azerbaijan Grand Prix,Baku,Azerbaijan
2023,5,Miami Grand Prix,Miami,United States
2023,6,Monaco Grand Prix,Monaco,Monaco
2023,7,Spanish Grand Prix,Barcelona,Spain
2023,8,Canadian Grand Prix,Montréal,Canada
2023,9,Austrian Grand Prix,Spielberg,Austria
2023,10,British Grand Prix,Silverstone,Great Britain
2023,11,Hungarian Grand Prix,Budapest,Hungary
2023,12,Belgian Grand Prix,Spa-Francorchamps,Belgium
2023,13,Dutch Grand Prix,Zandvoort,Netherlands
2023,14,Italian Grand Prix,Monza,Italy
2023,15,Singapore Grand Prix,Marina Bay,Singapore
2023,16,Japanese Grand Prix,Suzuka,Japan
2023,17,Qatar Grand Prix,Lusail,Qatar
2023,18,United States Grand Prix,Austin,United States
2023,19,Mexico City Grand Prix,Mexico City,Mexico
2023,20,São Paulo Grand Prix,São Paulo,Brazil
2023,21,Las Vegas Grand Prix,Las Vegas,United States
2023,22,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi
2024,1,Bahrain Grand Prix,Sakhir,Bahrain
2024,2,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia
2024,3,Australian Grand Prix,Melbourne,Australia
2024,4,Japanese Grand Prix,Suzuka,Japan
2024,5,Chinese Grand Prix,Shanghai,China
2024,6,Miami Grand Prix,Miami,United States
2024,7,Emilia Romagna Grand Prix,Imola,Italy
2024,8,Monaco Grand Prix,Monaco,Monaco
2024,9,Canadian Grand Prix,Montréal,Canada
2024,10,Spanish Grand Prix,Barcelona,Spain
2024,11,Austrian Grand Prix,Spielberg,Austria
2024,12,British Grand Prix,Silverstone,United Kingdom
2024,13,Hungarian Grand Prix,Budapest,Hungary
2024,14,Belgian Grand Prix,Spa-Francorchamps,Belgium
2024,15,Dutch Grand Prix,Zandvoort,Netherlands
2024,16,Italian Grand Prix,Monza,Italy
2024,17,Azerbaijan Grand Prix,Baku,Azerbaijan
2024,18,Singapore Grand Prix,Marina Bay,Singapore
2024,19,United States Grand Prix,Austin,United States
2024,20,Mexico City Grand Prix,Mexico City,Mexico
2024,21,São Paulo Grand Prix,São Paulo,Brazil
2024,22,Las Vegas Grand Prix,Las Vegas,United States
2024,23,Qatar Grand Prix,Lusail,Qatar
2024,24,Abu Dhabi Grand Prix,Yas Island,United Arab Emirates
